date,insta_handle,likes,likes_nan,momentum_absolute,momentum_relative,date_string,percentile_rma,percentile_relmomentum
2022-04-12 00:00:00+00:00,jordan_poole,5233.8,94208.4,-207.60000000000582,-0.0021987798678190754,2022-04-12 ,6.41511419850542,36.39090622039785
2022-04-13 00:00:00+00:00,jordan_poole,5233.8,94208.4,-207.60000000000582,-0.0021987798678190754,2022-04-13 ,6.41511419850542,36.39090622039785
2022-04-14 00:00:00+00:00,jordan_poole,5233.8,94208.4,-207.60000000000582,-0.0021987798678190754,2022-04-14 ,6.41511419850542,36.39090622039785
2022-04-15 00:00:00+00:00,jordan_poole,6368.55,95528.25,1112.25,0.011780312658871377,2022-04-15 ,6.804546889801074,41.01147247658141
2022-04-16 00:00:00+00:00,jordan_poole,6368.55,95528.25,1112.25,0.011780312658871377,2022-04-16 ,6.804546889801074,41.01147247658141
2022-04-17 00:00:00+00:00,jordan_poole,6368.55,95528.25,1112.25,0.011780312658871377,2022-04-17 ,6.804546889801074,41.01147247658141
2022-04-18 00:00:00+00:00,jordan_poole,6368.55,95528.25,1112.25,0.011780312658871377,2022-04-18 ,6.804546889801074,41.01147247658141
2022-04-19 00:00:00+00:00,jordan_poole,6368.55,95528.25,4058.5,0.04436985998103198,2022-04-19 ,6.804546889801074,46.49510577833912
2022-04-20 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-20 ,6.804546889801074,22.613409114830016
2022-04-21 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-21 ,6.804546889801074,22.613409114830016
2022-04-22 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-22 ,6.804546889801074,22.613409114830016
2022-04-23 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-23 ,6.804546889801074,22.613409114830016
2022-04-24 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-24 ,6.804546889801074,22.613409114830016
2022-04-25 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-25 ,6.804546889801074,22.613409114830016
2022-04-26 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-26 ,6.804546889801074,22.613409114830016
2022-04-27 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-27 ,6.804546889801074,22.613409114830016
2022-04-28 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-28 ,6.804546889801074,22.613409114830016
2022-04-29 00:00:00+00:00,jordan_poole,6368.55,95528.25,-9343.416666666672,-0.08909381307312116,2022-04-29 ,6.804546889801074,22.613409114830016
2022-04-30 00:00:00+00:00,jordan_poole,5576.194444444444,100371.5,1803.25,0.018294430508809887,2022-04-30 ,7.16240395747816,42.47447637090833
2022-05-01 00:00:00+00:00,jordan_poole,7519.75,112796.25,14228.0,0.1443466836430595,2022-05-01 ,8.846437217135039,59.03062835491001
2020-05-10 00:00:00+00:00,damianlillard,,,,,2020-05-10 ,,
2020-05-11 00:00:00+00:00,damianlillard,,,,,2020-05-11 ,,
2020-05-12 00:00:00+00:00,damianlillard,,,,,2020-05-12 ,,
2020-05-13 00:00:00+00:00,damianlillard,,,,,2020-05-13 ,,
2020-05-14 00:00:00+00:00,damianlillard,,,,,2020-05-14 ,,
2020-05-15 00:00:00+00:00,damianlillard,,,,,2020-05-15 ,,
2020-05-16 00:00:00+00:00,damianlillard,,,,,2020-05-16 ,,
2020-05-17 00:00:00+00:00,damianlillard,,,,,2020-05-17 ,,
2020-05-18 00:00:00+00:00,damianlillard,,,,,2020-05-18 ,,
2020-05-19 00:00:00+00:00,damianlillard,,,,,2020-05-19 ,,
2020-05-20 00:00:00+00:00,damianlillard,,,,,2020-05-20 ,,
2020-05-21 00:00:00+00:00,damianlillard,,,,,2020-05-21 ,,
2020-05-22 00:00:00+00:00,damianlillard,,,,,2020-05-22 ,,
2020-05-23 00:00:00+00:00,damianlillard,,,,,2020-05-23 ,,
2020-05-24 00:00:00+00:00,damianlillard,,,,,2020-05-24 ,,
2020-05-25 00:00:00+00:00,damianlillard,,,,,2020-05-25 ,,
2020-05-26 00:00:00+00:00,damianlillard,,,,,2020-05-26 ,,
2020-05-27 00:00:00+00:00,damianlillard,,,,,2020-05-27 ,,
2020-05-28 00:00:00+00:00,damianlillard,,,,,2020-05-28 ,,
2020-05-29 00:00:00+00:00,damianlillard,,,,,2020-05-29 ,,
2020-05-30 00:00:00+00:00,damianlillard,,,,,2020-05-30 ,,
2020-05-31 00:00:00+00:00,damianlillard,,,,,2020-05-31 ,,
2020-06-01 00:00:00+00:00,damianlillard,,,,,2020-06-01 ,,
2020-06-02 00:00:00+00:00,damianlillard,,,,,2020-06-02 ,,
2020-06-03 00:00:00+00:00,damianlillard,,,,,2020-06-03 ,,
2020-06-04 00:00:00+00:00,damianlillard,,,,,2020-06-04 ,,
2020-06-05 00:00:00+00:00,damianlillard,,,,,2020-06-05 ,,
2020-06-06 00:00:00+00:00,damianlillard,,,,,2020-06-06 ,,
2020-06-07 00:00:00+00:00,damianlillard,,,,,2020-06-07 ,,
2020-06-08 00:00:00+00:00,damianlillard,,,,,2020-06-08 ,,
2020-06-09 00:00:00+00:00,damianlillard,,,,,2020-06-09 ,,
2020-06-10 00:00:00+00:00,damianlillard,,,,,2020-06-10 ,,
2020-06-11 00:00:00+00:00,damianlillard,,,,,2020-06-11 ,,
2020-06-12 00:00:00+00:00,damianlillard,,,,,2020-06-12 ,,
2020-06-13 00:00:00+00:00,damianlillard,,,,,2020-06-13 ,,
2020-06-14 00:00:00+00:00,damianlillard,,,,,2020-06-14 ,,
2020-06-15 00:00:00+00:00,damianlillard,,,,,2020-06-15 ,,
2020-06-16 00:00:00+00:00,damianlillard,,,,,2020-06-16 ,,
2020-06-17 00:00:00+00:00,damianlillard,,,,,2020-06-17 ,,
2020-06-18 00:00:00+00:00,damianlillard,,,,,2020-06-18 ,,
2020-06-19 00:00:00+00:00,damianlillard,,,,,2020-06-19 ,,
2020-06-20 00:00:00+00:00,damianlillard,,,,,2020-06-20 ,,
2020-06-21 00:00:00+00:00,damianlillard,,,,,2020-06-21 ,,
2020-06-22 00:00:00+00:00,damianlillard,,,,,2020-06-22 ,,
2020-06-23 00:00:00+00:00,damianlillard,,,,,2020-06-23 ,,
2020-06-24 00:00:00+00:00,damianlillard,,,,,2020-06-24 ,,
2020-06-25 00:00:00+00:00,damianlillard,,,,,2020-06-25 ,,
2020-06-26 00:00:00+00:00,damianlillard,,,,,2020-06-26 ,,
2020-06-27 00:00:00+00:00,damianlillard,,,,,2020-06-27 ,,
2020-06-28 00:00:00+00:00,damianlillard,,,,,2020-06-28 ,,
2020-06-29 00:00:00+00:00,damianlillard,,,,,2020-06-29 ,,
2020-06-30 00:00:00+00:00,damianlillard,,,,,2020-06-30 ,,
2020-07-01 00:00:00+00:00,damianlillard,,,,,2020-07-01 ,,
2020-07-02 00:00:00+00:00,damianlillard,,,,,2020-07-02 ,,
2020-07-03 00:00:00+00:00,damianlillard,,,,,2020-07-03 ,,
2020-07-04 00:00:00+00:00,damianlillard,,,,,2020-07-04 ,,
2020-07-05 00:00:00+00:00,damianlillard,,,,,2020-07-05 ,,
2020-07-06 00:00:00+00:00,damianlillard,,,,,2020-07-06 ,,
2020-07-07 00:00:00+00:00,damianlillard,,,,,2020-07-07 ,,
2020-07-08 00:00:00+00:00,damianlillard,,,,,2020-07-08 ,,
2020-07-09 00:00:00+00:00,damianlillard,,,,,2020-07-09 ,,
2020-07-10 00:00:00+00:00,damianlillard,,,,,2020-07-10 ,,
2020-07-11 00:00:00+00:00,damianlillard,,,,,2020-07-11 ,,
2020-07-12 00:00:00+00:00,damianlillard,,,,,2020-07-12 ,,
2020-07-13 00:00:00+00:00,damianlillard,,,,,2020-07-13 ,,
2020-07-14 00:00:00+00:00,damianlillard,,,,,2020-07-14 ,,
2020-07-15 00:00:00+00:00,damianlillard,,,,,2020-07-15 ,,
2020-07-16 00:00:00+00:00,damianlillard,,,,,2020-07-16 ,,
2020-07-17 00:00:00+00:00,damianlillard,,,,,2020-07-17 ,,
2020-07-18 00:00:00+00:00,damianlillard,,,,,2020-07-18 ,,
